NON ,175,47 ,47 487 ,32 451 ,175,21 ,15 036
MSE ,174,75 ,14 755 ,1 692 ,176,51 ,13 063
JPAG ,175,49 ,16 893 ,4 516 ,177,25 ,12 377
NRD ,175,70 ,4 168 ,1 773 ,176,08 ,2 395
SWB ,174,19 ,5 207 ,3 619 ,176,43 ,1 588
EPB ,176,00 ,1 000 ,0 ,- ,1 000
SSWM ,176,12 ,3 274 ,2 286 ,176,29 ,988
SBN ,173,51 ,750 ,0 ,- ,750
DBL ,177,28 ,656 ,0 ,- ,656
DDB ,174,70 ,1 744 ,1 150 ,175,69 ,594
MGF ,178,40 ,500 ,0 ,- ,500
GSI ,173,63 ,345 ,0 ,- ,345
LFB ,174,83 ,446 ,185 ,173,57 ,261
JYB ,176,20 ,7 ,0 ,- ,7
TMB ,173,28 ,290 ,315 ,177,85 ,-25